Period,^GSPC,NVDA,AAPL,KO,MCD,MS
2019-07,2980.3798828125,4.193790912628174,51.40108108520508,45.058326721191406,187.71148681640625,37.63237762451172
2019-08,2926.4599609375,4.1637139320373535,50.363609313964844,47.121612548828125,194.16989135742188,35.31292724609375
2019-09,2976.739990234375,4.331055164337158,54.24352264404297,46.60792922973633,192.2771453857422,36.317230224609375
2019-10,3037.56005859375,5.0016021728515625,60.2474365234375,46.940067291259766,176.14881896972656,39.194026947021484
2019-11,3140.97998046875,5.392732620239258,64.72553253173828,46.051795959472656,174.16078186035156,42.430484771728516
2019-12,3230.780029296875,5.858848571777344,71.33290100097656,48.090030670166016,178.0978240966797,43.836830139160156
2020-01,3225.52001953125,5.886983394622803,75.18559265136719,50.73997497558594,192.84246826171875,44.81439971923828
2020-02,2954.219970703125,6.724601745605469,66.40409851074219,46.473995208740234,174.99754333496094,38.86790084838867
2020-03,2584.590087890625,6.567427158355713,61.918251037597656,38.445953369140625,149.955810546875,29.34730339050293
2020-04,2912.429931640625,7.281971454620361,71.5387191772461,40.22050476074219,170.09800720214844,34.03423309326172
2020-05,3044.31005859375,8.845100402832031,77.41667938232422,40.91291809082031,168.97349548339844,38.487152099609375
2020-06,3100.2900390625,9.465215682983398,89.0672836303711,39.160003662109375,168.4111328125,42.05723190307617
2020-07,3271.1201171875,10.583222389221191,103.77513122558594,41.77988815307617,177.36712646484375,42.5622673034668
2020-08,3500.31005859375,13.334771156311035,126.02242279052734,43.8051872253418,194.9322052001953,45.822418212890625
2020-09,3363.0,13.490309715270996,113.30570983886719,43.66368103027344,201.55484008789062,42.394073486328125
2020-10,3269.9599609375,12.500508308410645,106.5060043334961,42.84916687011719,195.5951385498047,42.218711853027344
2020-11,3621.6298828125,13.365689277648926,116.47566223144531,46.005340576171875,199.6723175048828,54.61539840698242
2020-12,3756.070068359375,13.020115852355957,130.04469299316406,49.277435302734375,198.21719360351562,60.533607482910156
2021-01,3714.239990234375,12.95886516571045,129.32923889160156,43.266014099121094,191.99114990234375,59.22629928588867
2021-02,3811.14990234375,13.681894302368164,118.84255981445312,44.020809173583984,190.4207763671875,68.24957275390625
2021-03,3972.889892578125,13.31651496887207,119.89371490478516,47.36348342895508,208.3220977783203,68.95099639892578
2021-04,4181.169921875,14.978981971740723,129.03175354003906,48.908390045166016,219.41952514648438,73.29261779785156
2021-05,4204.10986328125,16.21147346496582,122.30826568603516,50.09531021118164,217.38404846191406,81.09367370605469
